[DEBUG] 2020-02-16 21:38:32.389 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-02-16 21:38:32.393 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-02-16 21:38:32.401 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-02-16 21:38:32.558 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-02-16 21:38:32.561 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-02-16 21:38:32.899 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2020-02-16 21:38:32.900 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2020-02-16 21:38:32.913 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-02-16 21:38:33.413 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-02-16 21:38:33.459 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-02-16 21:38:33.461 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-02-16 21:38:33.491 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-02-16 21:38:33.540 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@5942ee04
[DEBUG] 2020-02-16 21:38:33.540 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@5942ee04
[DEBUG] 2020-02-16 21:38:33.541 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@5942ee04
[DEBUG] 2020-02-16 21:38:33.541 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@14faa38c
[DEBUG] 2020-02-16 21:38:33.542 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@2fb5fe30
[DEBUG] 2020-02-16 21:38:33.543 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@5b6e8f77
[DEBUG] 2020-02-16 21:38:33.545 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@c3c4c1c
[DEBUG] 2020-02-16 21:38:33.545 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@c3c4c1c
[DEBUG] 2020-02-16 21:38:33.545 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@c3c4c1c
[DEBUG] 2020-02-16 21:38:33.550 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@41d7b27f
[DEBUG] 2020-02-16 21:38:33.550 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@41d7b27f
[DEBUG] 2020-02-16 21:38:33.551 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@41d7b27f
